"","X","location","Weeks","CFR","TotalCasepm","NewCases","Age65Older","PopulationDensity","TotalTestpt","GDP","Vaccinationph","SI","GHSI","WGI","X...iso_code","continent","Obesity_rate","Vaccinationph2","vml","vml2","lw","TTs","TTs2","GDP2","PopulationDensity2","PopulationDensity22","GHSI2","WGI2","Age65Older2","Age65Older22","Obesity_rate2","Obesity_rate22","CFR2","CFR22","SI2","CFRprcnt"
"4062",3982,"Denmark",103,0.005363981,96989.92329,7582.714286,19.677,136.52,8895.971286,46682.515,180.58,38.89,70.4,1.61,"DNK","Europe",19.7,180.58,180.58,2.60095403269925,4.63472898822964,8895.971286,5.57644155172678,1.48343008587444,136.52,-0.088747029681379,1.87397387173849,1.77408261140997,19.677,1.70394496760856,19.7,0.211746738421791,0.00005363981,-0.656337212155041,-0.722668867562427,0.5363981
"4172",4096,"Djibouti",103,0.01397138,13487.79614,1.714285714,4.213,41.285,NA,2705.406,NA,49.07,23.2,-1.35,"DJI","Africa",13.5,6.46,6.46,-0.458603819436715,4.63472898822964,NA,NA,-0.811202150815806,41.285,-0.228086630059351,-1.33981684381252,-1.15897642295519,4.213,-0.70435180456616,13.5,-0.465050166918956,0.0001397138,-0.379723742545172,-0.234901635665769,1.397138
"4285",4249,"Dominican Republic",103,0.010278483,37473.08243,217.7142857,6.981,222.873,NA,14600.861,127.4357143,37.96,38.3,0.14,"DOM","North America",27.6,127.4357143,127.4357143,1.66712669172985,4.63472898822964,NA,NA,-0.190522548773341,222.873,0.0375971978761259,-0.311676169981584,0.317462077451596,6.981,-0.27327540354575,27.6,1.07411698877532,0.00010278483,-0.498401295669162,-0.767229135309371,1.0278483
"4398",4307,"Ecuador",103,0.062875517,29843.73371,515.2857143,7.104,66.939,109.943,10581.936,147.1028571,57.87,50.1,0.03,"ECU","South America",19.9,147.1028571,147.1028571,2.01270882579153,4.63472898822964,109.943,-0.357934048111169,-0.400221527890871,66.939,-0.190551920046262,0.49177150890617,0.208463261985323,7.104,-0.254119913182488,19.9,0.23357889665859,0.00062875517,1.19189423564387,0.186743908606391,6.2875517
"4513",4473,"Egypt",103,0.057039748,3547.922286,852.1428571,5.159,97.999,NA,10550.206,45.12,43.52,39.9,-1.28,"EGY","Africa",32,45.12,45.12,0.220712207232114,4.63472898822964,NA,NA,-0.40187713196594,97.999,-0.145107619235218,-0.202734111827313,-1.08961354038575,5.159,-0.55702583803245,32,1.55442446998489,0.00057039748,1.00435183044902,-0.500825814155597,5.7039748
"4623",4559,"El Salvador",103,0.031423588,18537.37186,225.8571429,8.273,307.811,171.4288571,7292.458,144.3366667,27.78,44.2,0.04,"SLV","North America",24.6,144.3366667,144.3366667,1.96410257976107,4.63472898822964,171.4288571,-0.316404456100774,-0.571859510294019,307.811,0.16187112003609,0.0900476694622931,0.21837224520953,8.273,-0.0720648868844894,24.6,0.74663461522335,0.00031423588,0.181132772556906,-1.25499636720603,3.1423588
"4734",4670,"Equatorial Guinea",103,0.012854954,9389.277143,2.571428571,2.846,45.194,181.8255,22604.873,31.075,NA,16.2,-1.86,"GNQ","Africa",8,31.075,31.075,-0.0260801775212154,4.63472898822964,181.8255,-0.309382217845031,0.227109814419418,45.194,-0.222367319954059,-1.81643834823746,-1.66433456738973,2.846,-0.91724249827819,8,-1.06543451843091,0.00012854954,-0.415601999080354,NA,1.2854954
"4844",4771,"Eritrea",103,0.008317356,2126.953571,18.57142857,3.607,44.304,NA,1510.459,NA,59.65714286,22.4,-2.18," "," ",5,0,0,-0.572116016339991,4.63472898822964,NA,NA,-0.873551949829113,44.304,-0.223669490840145,-1.39428787288966,-1.98142203056435,3.607,-0.798727635136379,5,-1.39291689198288,0.00008317356,-0.561425461716954,0.272373547685573,0.8317356
"4962",4961,"Estonia",103,0.008125745,172678.464,522.2857143,19.452,31.033,1827.715286,29481.252,130.2557143,37.83,57,1.21,"EST","Europe",21.2,130.2557143,130.2557143,1.71667845570311,4.63472898822964,1827.715286,0.802306461967729,0.585904680291565,31.033,-0.243086468176377,0.961584134696467,1.37772328244171,19.452,1.66890443645625,21.2,0.375487925197779,0.00008125745,-0.567583208502645,-0.773457989940665,0.8125745
"5073",5066,"Ethiopia",103,0.018307227,3168.031286,241.5714286,3.526,104.957,33.384,1729.927,8.871428571,43.52,40.6,-1.16,"ETH","Africa",4.5,8.871428571,8.871428571,-0.416231287738645,4.63472898822964,33.384,-0.409644541949658,-0.862100575257812,104.957,-0.134927276510065,-0.155071961384818,-0.970705741695268,3.526,-0.811342226351211,4.5,-1.44749728757488,0.00018307227,-0.240383892914925,-0.500825814155597,1.8307227
