"Location","Weeks","CFR","TotalCasepm","NewCases","Age65Older","PopulationDensity","TotalTestpt","GHSI","GDP","WGI","Obesity","Vaccinationph","covid_week"
"Ireland",76,0.0186213212432304,53736.728,227,13.928,69.874,NA,59,67335.293,1.32,25.3,62.78,70
"Ireland",77,0.0185192126055082,54033.014,315,13.928,69.874,NA,59,67335.293,1.32,25.3,65.18,70
"Ireland",78,0.0185067481424488,54485.24,393,13.928,69.874,NA,59,67335.293,1.32,25.3,74.52,70
"Israel",57,0.0074162765728729,72236.097,9619.5,11.733,402.606,1269.145,47.3,33132.32,0.65,26.1,52.41,71
"Israel",58,0.00741034094685501,75474.873,6674.71428571429,11.733,402.606,1304.27714285714,47.3,33132.32,0.65,26.1,58.5042857142857,71
"Israel",59,0.00740038961156966,80597.8837142857,5599.14285714286,11.733,402.606,1363.48214285714,47.3,33132.32,0.65,26.1,66.89,71
"Israel",60,0.00741226747200932,84345.6891428571,3874.57142857143,11.733,402.606,1415.18628571429,47.3,33132.32,0.65,26.1,76.7128571428571,71
"Israel",61,0.00741825521059106,87229.358,3684.57142857143,11.733,402.606,1461.465,47.3,33132.32,0.65,26.1,86.94,71
"Israel",62,0.00738065415510716,90247.5568571429,3668.71428571429,11.733,402.606,1514.91657142857,47.3,33132.32,0.65,26.1,95.1471428571429,71
"Israel",63,0.00733524703805314,93035.1517142857,2977.57142857143,11.733,402.606,1581.85785714286,47.3,33132.32,0.65,26.1,102.288571428571,71
"Israel",64,0.00734082058764126,94841.4761428571,1616,11.733,402.606,1643.28657142857,47.3,33132.32,0.65,26.1,108.627142857143,71
"Israel",65,0.00737722543395756,95742.5835714286,754.714285714286,11.733,402.606,1689.86557142857,47.3,33132.32,0.65,26.1,113.142857142857,71
"Israel",66,0.00743800318480339,96156.6535714286,373,11.733,402.606,1722.874,47.3,33132.32,0.65,26.1,115.437142857143,71
"Israel",67,0.00748837184567944,96424.5908571429,290,11.733,402.606,1752.53314285714,47.3,33132.32,0.65,26.1,117.22,71
"Israel",68,0.00753543980364177,96608.701,202.285714285714,11.733,402.606,1787.84428571429,47.3,33132.32,0.65,26.1,118.68,71
"Israel",69,0.00756900757873414,96729.7791428571,129.285714285714,11.733,402.606,1819.67571428571,47.3,33132.32,0.65,26.1,119.487142857143,71
"Israel",70,0.00758197008436009,96832.1745714286,85.7142857142857,11.733,402.606,1848.422,47.3,33132.32,0.65,26.1,120.304285714286,71
"Israel",71,0.00759263031974826,96889.6932857143,60.1428571428571,11.733,402.606,1874.12742857143,47.3,33132.32,0.65,26.1,120.961428571429,71
