"","X","location","Weeks","CFR","TotalCasepm","NewCases","Age65Older","PopulationDensity","TotalTestpt","GDP","Vaccinationph","GHSI","WGI","ï..iso_code","continent","Obesity_rate","Vaccinationph2"
"2958",7558,"Netherlands",41,0.038203454,10149.232,6311.142857,18.779,508.544,171.443,48472.545,NA,35.1,1.6,"NLD","Europe",20.4,0
"2965",10053,"Spain",41,0.038074679,18497.28057,10096.57143,19.436,93.105,233.672,34272.36,NA,65.9,1.06,"ESP","Europe",23.8,0
"2968",2244,"China",10,0.038034652,55.80657143,86.57142857,10.641,147.674,NA,15308.712,NA,48.2,-1.45,"CHN","Asia",6.2,0
"2972",5089,"Ireland",42,0.038003501,9775.940143,1156.714286,13.928,69.874,285.2621429,67335.293,NA,59,1.32,"IRL","Europe",25.3,0
"2979",8757,"Portugal",26,0.037873798,4050.173857,343.4285714,21.502,112.371,115.6757143,27936.896,NA,60.3,1.2,"PRT","Europe",20.8,0
"3000",8735,"Portugal",17,0.037559374,2286.42,420.4285714,21.502,112.371,35.29314286,27936.896,NA,60.3,1.2,"PRT","Europe",20.8,0
"3009",2869,"Denmark",34,0.037403739,2860.238286,94.14285714,19.677,136.52,373.7037143,46682.515,NA,70.4,1.61,"DNK","Europe",19.7,0
"3023",1877,"Canada",46,0.037190777,7790.066143,4735.857143,16.984,4.037,330.0374286,44017.591,NA,75.3,1.52,"CAN","North America",29.4,0
"3051",3716,"France",42,0.037031689,13396.77614,24999.71429,19.718,122.578,NA,38605.671,NA,68.2,1.18,"FRA","Europe",21.6,0
"3061",8745,"Portugal",27,0.036901318,4276.797,325,21.502,112.371,124.8992857,27936.896,NA,60.3,1.2,"PRT","Europe",20.8,0
"3088",11504,"United Kingdom",47,0.036615581,21897.57743,18321.71429,18.517,272.898,462.4495714,39753.244,NA,77.9,1.38,"GBR","Europe",27.8,0
"3114",2850,"Denmark",14,0.036447004,731.8191429,318.1428571,19.677,136.52,8.417571429,46682.515,NA,70.4,1.61,"DNK","Europe",19.7,0
"3124",5104,"Ireland",15,0.036323218,1761.623429,824.2857143,13.928,69.874,14.481,67335.293,NA,59,1.32,"IRL","Europe",25.3,0
"3135",2870,"Denmark",35,0.036229305,2963.105857,86.28571429,19.677,136.52,416.1117143,46682.515,NA,70.4,1.61,"DNK","Europe",19.7,0
"3150",11505,"United Kingdom",48,0.03607234,23550.08,14945.57143,18.517,272.898,491.801,39753.244,NA,77.9,1.38,"GBR","Europe",27.8,0
"3162",5256,"Italy",47,0.035904102,22724.78143,30992.85714,23.021,205.859,333.7028571,35220.084,NA,56.2,1.05,"ITA","Europe",19.9,0
"3170",8746,"Portugal",28,0.035875233,4529.889714,376.4285714,21.502,112.371,134.4205714,27936.896,NA,60.3,1.2,"PRT","Europe",20.8,0
"3171",1041,"Belgium",43,0.035872198,26019.40671,15304.28571,18.571,375.564,393.009,42658.576,NA,61,1.4,"BEL","Europe",22.1,0
"3175",10054,"Spain",42,0.035842637,20175.88171,13176.57143,19.436,93.105,249.857,34272.36,NA,65.9,1.06,"ESP","Europe",23.8,0
"3186",2205,"China",9,0.035704336,54.87014286,355.8571429,10.641,147.674,NA,15308.712,NA,48.2,-1.45,"CHN","Asia",6.2,0
"3190",11506,"United Kingdom",49,0.035655901,25075.45729,15383,18.517,272.898,522.1071429,39753.244,NA,77.9,1.38,"GBR","Europe",27.8,0
"3232",5261,"Italy",51,0.0352758,32063.13114,15256.28571,23.021,205.859,413.7682857,35220.084,NA,56.2,1.05,"ITA","Europe",19.9,0
"3235",5263,"Italy",53,0.035258802,34711.2025,19839.5,23.021,205.859,439.071,35220.084,0.045,56.2,1.05,"ITA","Europe",19.9,0.045
"3238",5262,"Italy",52,0.035227051,33696.407,12873.85714,23.021,205.859,429.7641429,35220.084,0.013333333,56.2,1.05,"ITA","Europe",19.9,0.013333333
"3263",5260,"Italy",50,0.035046852,30193.57643,16168.85714,23.021,205.859,397.8708571,35220.084,NA,56.2,1.05,"ITA","Europe",19.9,0
"3265",3728,"France",12,0.035040427,225.3264286,2093.857143,19.718,122.578,NA,38605.671,NA,68.2,1.18,"FRA","Europe",21.6,0
"3278",5264,"Italy",54,0.034951425,35961.16471,16170.71429,23.021,205.859,448.2231429,35220.084,0.358571429,56.2,1.05,"ITA","Europe",19.9,0.358571429
"3286",8747,"Portugal",29,0.034911593,4748.307857,263.8571429,21.502,112.371,144.1185714,27936.896,NA,60.3,1.2,"PRT","Europe",20.8,0
"3293",1878,"Canada",47,0.034878034,8689.665429,5156,16.984,4.037,348.2071429,44017.591,NA,75.3,1.52,"CAN","North America",29.4,0
"3298",11508,"United Kingdom",50,0.034855175,26887.254,19789.28571,18.517,272.898,554.8395714,39753.244,0.13,77.9,1.38,"GBR","Europe",27.8,0.13
"3302",5257,"Italy",48,0.03484107,25797.07929,23697,23.021,205.859,357.5277143,35220.084,NA,56.2,1.05,"ITA","Europe",19.9,0
"3310",5258,"Italy",49,0.034805225,28241.78986,19499,23.021,205.859,379.501,35220.084,NA,56.2,1.05,"ITA","Europe",19.9,0
"3319",5268,"Italy",58,0.034727785,42446.43143,11705.57143,23.021,205.859,544.4605714,35220.084,3.535714286,56.2,1.05,"ITA","Europe",19.9,3.535714286
"3323",5267,"Italy",57,0.034705981,41038.73857,12469.42857,23.021,205.859,515.7914286,35220.084,2.591428571,56.2,1.05,"ITA","Europe",19.9,2.591428571
"3328",5265,"Italy",55,0.034661275,37910.30843,16559.71429,23.021,205.859,464.0415714,35220.084,1.277142857,56.2,1.05,"ITA","Europe",19.9,1.277142857
"3333",5269,"Italy",59,0.034631173,43839.102,12279.57143,23.021,205.859,573.0558571,35220.084,4.504285714,56.2,1.05,"ITA","Europe",19.9,4.504285714
"3338",8734,"Portugal",16,0.034591711,1940.092857,561.5714286,21.502,112.371,26.067,27936.896,NA,60.3,1.2,"PRT","Europe",20.8,0
"3339",5266,"Italy",56,0.034590368,39603.92114,13134.57143,23.021,205.859,487.4605714,35220.084,2.085714286,56.2,1.05,"ITA","Europe",19.9,2.085714286
"3344",2871,"Denmark",36,0.0345214,3125.614714,182.1428571,19.677,136.52,459.9212857,46682.515,NA,70.4,1.61,"DNK","Europe",19.7,0
