,location,Weeks,CFR,TotalCasepm,NewCases,Age65Older,PopulationDensity,TotalTestpt,GDP,Vaccinationph,GHSI,WGI,continent,Obesity_rate,id,lw,vml,vml2,TTs,TTs2,GDP2,PopulationDensity2,PopulationDensity22,GHSI2,WGI2,Age65Older2,Age65Older22,Obesity_rate2,Obesity_rate22,CFR2
64,Algeria,55,0.027454825,2334.888,249.2857143,6.211,17.348,NA,13913.839,NA,23.6,-0.98,Africa,27.4,64,4.007333185,NA,NA,NA,NA,-0.213218938,0.017348,-0.261984029,-1.313315422,-0.786369178,0.0006211,-0.378036591,0.00274,1.054725606,2.74548E-06
65,Algeria,75,0.026927634,2942.187714,292.8571429,6.211,17.348,NA,13913.839,NA,23.6,-0.98,Africa,27.4,65,4.317488114,NA,NA,NA,NA,-0.213218938,0.017348,-0.261984029,-1.313315422,-0.786369178,0.0006211,-0.378036591,0.00274,1.054725606,2.69276E-06
66,Algeria,58,0.026895251,2453.970143,253,6.211,17.348,NA,13913.839,0,23.6,-0.98,Africa,27.4,66,4.060443011,0,-0.720032034,NA,NA,-0.213218938,0.017348,-0.261984029,-1.313315422,-0.786369178,0.0006211,-0.378036591,0.00274,1.054725606,2.68953E-06
67,Algeria,59,0.026704422,2492.363,238.2857143,6.211,17.348,NA,13913.839,NA,23.6,-0.98,Africa,27.4,67,4.077537444,NA,NA,NA,NA,-0.213218938,0.017348,-0.261984029,-1.313315422,-0.786369178,0.0006211,-0.378036591,0.00274,1.054725606,2.67044E-06
68,Algeria,56,0.027279709,2373.997857,246.4285714,6.211,17.348,NA,13913.839,NA,23.6,-0.98,Africa,27.4,68,4.025351691,NA,NA,NA,NA,-0.213218938,0.017348,-0.261984029,-1.313315422,-0.786369178,0.0006211,-0.378036591,0.00274,1.054725606,2.72797E-06
69,Algeria,57,0.027091669,2414.045857,251.1428571,6.211,17.348,NA,13913.839,NA,23.6,-0.98,Africa,27.4,69,4.043051268,NA,NA,NA,NA,-0.213218938,0.017348,-0.261984029,-1.313315422,-0.786369178,0.0006211,-0.378036591,0.00274,1.054725606,2.70917E-06
70,Algeria,62,0.026377988,2583.082571,162.7142857,6.211,17.348,NA,13913.839,NA,23.6,-0.98,Africa,27.4,70,4.127134385,NA,NA,NA,NA,-0.213218938,0.017348,-0.261984029,-1.313315422,-0.786369178,0.0006211,-0.378036591,0.00274,1.054725606,2.6378E-06
71,Algeria,80,0.026515099,3238.642714,511,6.211,17.348,NA,13913.839,NA,23.6,-0.98,Africa,27.4,71,4.382026635,NA,NA,NA,NA,-0.213218938,0.017348,-0.261984029,-1.313315422,-0.786369178,0.0006211,-0.378036591,0.00274,1.054725606,2.65151E-06
72,Algeria,60,0.026529609,2528.543714,195.5714286,6.211,17.348,NA,13913.839,NA,23.6,-0.98,Africa,27.4,72,4.094344562,NA,NA,NA,NA,-0.213218938,0.017348,-0.261984029,-1.313315422,-0.786369178,0.0006211,-0.378036591,0.00274,1.054725606,2.65296E-06
73,Algeria,61,0.026438237,2556.502143,172,6.211,17.348,NA,13913.839,0.17,23.6,-0.98,Africa,27.4,73,4.110873864,0.17,-0.714717475,NA,NA,-0.213218938,0.017348,-0.261984029,-1.313315422,-0.786369178,0.0006211,-0.378036591,0.00274,1.054725606,2.64382E-06
74,Algeria,70,0.026546697,2762.996714,214.7142857,6.211,17.348,NA,13913.839,NA,23.6,-0.98,Africa,27.4,74,4.248495242,NA,NA,NA,NA,-0.213218938,0.017348,-0.261984029,-1.313315422,-0.786369178,0.0006211,-0.378036591,0.00274,1.054725606,2.65467E-06
75,Algeria,71,0.026714905,2799.744571,229.5714286,6.211,17.348,NA,13913.839,NA,23.6,-0.98,Africa,27.4,75,4.262679877,NA,NA,NA,NA,-0.213218938,0.017348,-0.261984029,-1.313315422,-0.786369178,0.0006211,-0.378036591,0.00274,1.054725606,2.67149E-06
76,Algeria,68,0.026405266,2706.259143,146.5714286,6.211,17.348,NA,13913.839,NA,23.6,-0.98,Africa,27.4,76,4.219507705,NA,NA,NA,NA,-0.213218938,0.017348,-0.261984029,-1.313315422,-0.786369178,0.0006211,-0.378036591,0.00274,1.054725606,2.64053E-06
77,Algeria,69,0.026386939,2732.578714,174.4285714,6.211,17.348,NA,13913.839,NA,23.6,-0.98,Africa,27.4,77,4.234106505,NA,NA,NA,NA,-0.213218938,0.017348,-0.261984029,-1.313315422,-0.786369178,0.0006211,-0.378036591,0.00274,1.054725606,2.63869E-06
78,Algeria,78,0.026717716,3108.090286,366.1428571,6.211,17.348,NA,13913.839,NA,23.6,-0.98,Africa,27.4,78,4.356708827,NA,NA,NA,NA,-0.213218938,0.017348,-0.261984029,-1.313315422,-0.786369178,0.0006211,-0.378036591,0.00274,1.054725606,2.67177E-06
79,Algeria,79,0.026648126,3166.955143,381.7142857,6.211,17.348,NA,13913.839,NA,23.6,-0.98,Africa,27.4,79,4.369447852,NA,NA,NA,NA,-0.213218938,0.017348,-0.261984029,-1.313315422,-0.786369178,0.0006211,-0.378036591,0.00274,1.054725606,2.66481E-06
80,Algeria,72,0.026834379,2834.394286,202.2857143,6.211,17.348,NA,13913.839,NA,23.6,-0.98,Africa,27.4,80,4.276666119,NA,NA,NA,NA,-0.213218938,0.017348,-0.261984029,-1.313315422,-0.786369178,0.0006211,-0.378036591,0.00274,1.054725606,2.68344E-06
81,Algeria,73,0.026928859,2862.919429,181,6.211,17.348,NA,13913.839,NA,23.6,-0.98,Africa,27.4,81,4.290459441,NA,NA,NA,NA,-0.213218938,0.017348,-0.261984029,-1.313315422,-0.786369178,0.0006211,-0.378036591,0.00274,1.054725606,2.69289E-06
82,Algeria,81,0.026198115,3353.466429,893.4285714,6.211,17.348,NA,13913.839,NA,23.6,-0.98,Africa,27.4,82,4.394449155,NA,NA,NA,NA,-0.213218938,0.017348,-0.261984029,-1.313315422,-0.786369178,0.0006211,-0.378036591,0.00274,1.054725606,2.61981E-06
83,Algeria,82,0.025607285,3525.278571,1186.714286,6.211,17.348,NA,13913.839,NA,23.6,-0.98,Africa,27.4,83,4.406719247,NA,NA,NA,NA,-0.213218938,0.017348,-0.261984029,-1.313315422,-0.786369178,0.0006211,-0.378036591,0.00274,1.054725606,2.56073E-06
84,Algeria,66,0.026373228,2667.296143,108.7142857,6.211,17.348,NA,13913.839,NA,23.6,-0.98,Africa,27.4,84,4.189654742,NA,NA,NA,NA,-0.213218938,0.017348,-0.261984029,-1.313315422,-0.786369178,0.0006211,-0.378036591,0.00274,1.054725606,2.63732E-06
85,Algeria,67,0.026398943,2685.432143,116,6.211,17.348,NA,13913.839,NA,23.6,-0.98,Africa,27.4,85,4.204692619,NA,NA,NA,NA,-0.213218938,0.017348,-0.261984029,-1.313315422,-0.786369178,0.0006211,-0.378036591,0.00274,1.054725606,2.63989E-06
86,Algeria,76,0.026859071,2994.941,339.8571429,6.211,17.348,NA,13913.839,NA,23.6,-0.98,Africa,27.4,86,4.33073334,NA,NA,NA,NA,-0.213218938,0.017348,-0.261984029,-1.313315422,-0.786369178,0.0006211,-0.378036591,0.00274,1.054725606,2.68591E-06
87,Algeria,77,0.026770317,3050.391571,355,6.211,17.348,NA,13913.839,NA,23.6,-0.98,Africa,27.4,87,4.343805422,NA,NA,NA,NA,-0.213218938,0.017348,-0.261984029,-1.313315422,-0.786369178,0.0006211,-0.378036591,0.00274,1.054725606,2.67703E-06
